ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
C. MONTE MORELOS PTE.,PUEBLO SAN LUCAS XOCHIMANCA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.112704,19.242306,"19.242306,-99.112704",9m,WIFI GRATUITO_ACTIVO,SI
AV. PLAN DE MUYUGUARDA,LA CEBADA SAN LORENZO,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.114832,19.289319,"19.289319,-99.114832",9m,WIFI GRATUITO_ACTIVO,SI
C. 5 DE FEBRERO,PUEBLO SAN MATEO XALPA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.122544,19.23048,"19.23048,-99.122544",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CAMINO REAL AL AJUSCO Y C. BELLAVISTA,EL MIRADOR XOCHITEPEC STA. CRUZ,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.130507,19.264158,"19.264158,-99.130507",9m,WIFI GRATUITO_ACTIVO,SI
CAMINO VIEJO A SAN LORENZO,PUEBLO SANTA MARIA NATIVITAS,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.093532,19.24129,"19.24129,-99.093532",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. TLACOMULCO Y AV. VICENTE GUERRERO,PUEBLO SAN ANDRES AHUAYUCAN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.104425,19.223396,"19.223396,-99.104425",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. JACARANDAS Y C. ARBOLEDAS,PUEBLO SANTA CRUZ XOCHITEPEC,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.130393,19.259406,"19.259406,-99.130393",9m,WIFI GRATUITO_ACTIVO,SI
C. FCO. GOYTIA,BARRIO SAN PEDRO,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.108595,19.256516,"19.256516,-99.108595",9m,WIFI GRATUITO_ACTIVO,SI
C. MADROÑO,SANTA CRUZ DE GUADALUPE,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.121699,19.218403,"19.218403,-99.121699",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. 16 DE SEPTIEMBRE Y C. REDENCION,BARRIO SAN PEDRO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.107428,19.255995,"19.255995,-99.107428",9m,WIFI GRATUITO_ACTIVO,SI
